threshold,dataset,forget,retain,delta_forget_vs_baseline,delta_retain_vs_baseline,retain_constraint
-1,Cars,0.2772043278199229,0.60358,-0.0009949011317000322,-0.0020000000000000018,True
0,Cars,0.2781992289516229,0.60558,0.0,0.0,True
1,Cars,0.279691580649173,0.6053,0.0014923516975500761,-0.000280000000000058,True
2,Cars,0.2675040417858475,0.60322,-0.010695187165775388,-0.0023600000000000287,True
3,Cars,0.2576793931103097,0.60132,-0.020519835841313228,-0.0042600000000000415,True
4,Cars,0.26588732744683496,0.60422,-0.012311901504787948,-0.0013600000000000279,True
5,Cars,0.2903867678149484,0.61072,0.012187538863325464,0.005140000000000033,True
6,Cars,0.31650292252207435,0.61558,0.038303693570451436,0.010000000000000009,True
7,Cars,0.34510633005845043,0.61776,0.06690710110682752,0.012179999999999969,True
8,Cars,0.3786842432533267,0.62026,0.10048501430170381,0.014680000000000026,True
9,Cars,0.40679020022385276,0.6227,0.12859097127222985,0.017120000000000024,True
10,Cars,0.45951996020395475,0.62696,0.18132073125233183,0.021379999999999955,True
11,Cars,0.5328939186668324,0.63414,0.25469468971520953,0.02856000000000003,True
